file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
smackdown2__ff_tfp_1_dm3_jerry.qwd	self_pov	jerry	team/4on4	87922	0.6467	0.6467	0.137	180.0	0.0003	1231.404053	71.4	True
smackdown2__foad_aok_2_dm3_hashie.qwd	self_pov	hashie	team/4on4	87900	0.7664	0.7664	0.137	151.56	0.0004	1233.921997	71.236	True
smackdown2__koff_spas_1_dm3_Roscoe.qwd	self_pov	roscoe	team/4on4	87894	0.8124	0.8017	0.181	179.89	0.0004	1231.140015	71.392	True
smackdown2__OMG_AMD_1_dm3_Janus.qwd	self_pov	janus	team/4on4	87892	0.7776	0.7776	0.357	176.68	0.0004	1230.087036	71.452	True
SmackDown3__game_592_TVS_Twats_1_DM3_Ihminen.qwd	self_pov	ihminen	team/4on4	87891	0.8854	0.8852	0.242	174.67	0.0003	1230.259033	71.441	True
smackdown2__foad_lies_1_dm3_hashie.qwd	self_pov	hashie	team/4on4	87868	0.7422	0.7422	0.137	176.03	0.0004	1233.39502	71.241	True
smackdown2__game_271_E_CMF_2_DM3_Peksi.qwd	self_pov	peksi	team/4on4	87854	0.8404	0.8404	0.461	175.06	0.0006	1229.887939	71.433	True
smackdown__fifi_vs_tot_dm3.qwd	self_pov	fifi	team/4on4	87848	0.8258	0.8251	0.319	171.64	0.0003	1221.453003	71.921	True
SmackDown3__ag_fiend_ag_vs___x__dm3_3.qwd	self_pov	ag	team/4on4	87797	0.6073	0.5943	0.269	158.94	0.0004	1229.468018	71.411	True
SmackDown4__game_730_db_msr_3_dm3_porto.qwd	self_pov	porto	team/4on4	87795	0.7849	0.7849	0.203	176.89	0.0006	1230.362061	71.357	True
smackdown__z_daltons_1_dm3_luny.qwd	self_pov	luny	team/4on4	87793	0.7869	0.7869	0.33	150.57	0.0002	1229.832031	71.386	True
smackdown__fith-vs-5-arcane-dm3__5-1.qwd	self_pov	?	team/4on4	87731	0.7533	0.7495	0.241	176.65	0.0004	1221.003967	71.852	True
smackdown__cero_pq_vs_lit_dm3.qwd	self_pov	cero	team/4on4	87672	0.7869	0.7869	0.39	178.64	0.0005	1227.501953	71.423	True
SmackDown3__game_591_OC_IBH_1_DM3_123.qwd	self_pov	ibh	team/4on4	87664	0.8142	0.8026	0.494	177.54	0.0007	1227.389038	71.423	True
smackdown__ibh_fu_2_dm3_123.qwd	self_pov	fu	team/4on4	87655	0.7736	0.7709	0.494	178.52	0.0004	1229.090942	71.317	True
smackdown2__x_gq_dg_dm3.qwd	self_pov	dg	team/4on4	87653	0.7409	0.7407	0.313	176.5	0.0004	1250.399048	70.1	True
SmackDown4__game_730_db_msr_3_dm3_wart.qwd	self_pov	wart	team/4on4	87649	0.854	0.854	0.527	178.9	0.0006	1229.505981	71.288	True
smackdown2__fa_thdm_1_dm3_spice.qwd	self_pov	spice	team/4on4	87640	0.8309	0.827	0.549	179.84	0.0005	1227.412964	71.402	True
smackdown__gds_adm_2_dm3_gobo.qwd	self_pov	gobo	team/4on4	87629	0.7921	0.7921	0.264	179.41	0.0006	1222.69104	71.669	True
smackdown__gds_adm_1_dm3_gobo.qwd	self_pov	gobo	team/4on4	87617	0.8094	0.8094	0.264	179.46	0.0006	1224.668945	71.543	True
SmackDown4__game_749__fs__tvs_3_dm3_crit.qwd	self_pov	crit	team/4on4	87615	0.8504	0.8403	0.527	178.88	0.0008	1226.207031	71.452	True
SmackDown3__game_590_ED_DIE_2_DM3_pietro.qwd	self_pov	pietro	team/4on4	87611	0.835	0.8208	0.549	179.1	0.0007	1226.125	71.454	True
quakeworld__CHTV_Enslaved-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_ed_vs_die_dm3_pietro.qwd	self_pov	pietro	team/4on4	87611	0.835	0.8208	0.549	179.1	0.0007	1226.125	71.454	True
SmackDown5__game_1013_sr_fs_1_dm3_paradoks.qwd	self_pov	paradoks	team/4on4	87605	0.8413	0.8413	0.335	176.62	0.0003	1228.891968	71.288	True
smackdown2__koff_dn_1_dm3_Scenic.qwd	self_pov	scenic	team/4on4	87585	0.7864	0.7674	0.709	179.68	0.0005	1227.833008	71.333	True
smackdown2__game_271_E_CMF_2_DM3_Vana.qwd	self_pov	vana	team/4on4	87582	0.7248	0.7194	0.225	175.18	0.0003	1227.430054	71.354	True
smackdown2__foad_mu_1_dm3_darkone.qwd	self_pov	darkone	team/4on4	87581	0.693	0.6911	0.599	144.47	0.0001	1223.353027	71.591	True
smackdown2__list_dx_2_dm3_lb.qwd	self_pov	lb	team/4on4	87565	0.7317	0.7317	0.0	169.05	0.0003	1228.358032	71.286	True
smackdown__smackdown_semifinals_tvs_dm3.qwd	self_pov	tvs	team/4on4	87562	0.7954	0.7954	0.396	179.91	0.0004	1226.562988	71.388	True
smackdown__smackdown_semifinals_tvs_dm3_para.qwd	self_pov	para	team/4on4	87562	0.7954	0.7954	0.396	179.91	0.0004	1226.562988	71.388	True
SmackDown3__game_341_IB_NME_1_DM3_Cero.qwd	self_pov	cero	team/4on4	87537	0.7101	0.7066	0.39	178.51	0.0004	1226.81897	71.353	True
smackdown__pietro_z2_dm3.qwd	self_pov	z2	team/4on4	87485	0.7417	0.7264	0.445	176.14	0.0004	1225.737061	71.373	True
smackdown2__aok_lies_1_dm3_povo.qwd	self_pov	povo	team/4on4	87484	0.7781	0.7777	0.352	166.33	0.0004	1229.615967	71.147	True
quakeworld__CHTV_naDaghda-Ireland_ClanAstral-Denmark_Overlord_dm3_QuakeWorld_4v4__A_nD_clanbase_Overlord.qwd	self_pov	a	team/4on4	87483	0.7183	0.7179	0.269	178.43	0.0002	1225.27002	71.399	True
SmackDown3__game_593_ED_OC_2_DM3_Exile.qwd	self_pov	exile	team/4on4	87467	0.7618	0.753	0.445	175.87	0.0004	1225.495972	71.373	True
SmackDown3__game_593_ED_OC_2_DM3_Reverend.qwd	self_pov	reverend	team/4on4	87467	0.7618	0.753	0.445	175.87	0.0004	1225.495972	71.373	True
smackdown2__oc_tfp_1_dm3_hatti.qwd	self_pov	hatti	team/4on4	87440	0.7464	0.7464	0.297	174.3	0.0002	1214.526978	71.995	True
SmackDown5__game_820_koff____1_dm3_scenic.qwd	self_pov	scenic	team/4on4	87432	0.8696	0.8548	0.769	179.96	0.0004	1231.66394	70.987	True
SmackDown3__game_428_ED_DEATH_2_DM3_reverend.qwd	self_pov	reverend	team/4on4	87430	0.8151	0.8112	0.467	179.04	0.0005	1224.529053	71.399	True
quakeworld__CHTV_Hard_Guns_Crew-Poland_Clan_Osams-Poland_MVD_DM3_QW_4v4__smid.qwd	self_pov	smid	team/4on4	87372	0.7968	0.7968	0.69	152.3	0.0001	1215.444397	71.885	True
smackdown2__RC_L_1_dm3_ace.qwd	self_pov	ace	team/4on4	87362	0.7275	0.7236	0.505	174.28	0.0002	1223.401001	71.409	True
smackdown2__fs_oc_3_dm3_crit.qwd	self_pov	crit	team/4on4	87359	0.7845	0.7771	0.291	179.85	0.0006	1222.621948	71.452	True
smackdown2__fa_dx_1_dm3_harlsom.qwd	self_pov	harlsom	team/4on4	87347	0.8327	0.8327	0.291	179.54	0.0004	1230.609009	70.979	True
quakeworld__CHTV_Akademikerna-Sweden_Warriors_of_the_Realm-Sweden_Max_Rebo_DM3_QW_4v4__4on4_aa_vs_wr_dm3_max.qwd	self_pov	max	team/4on4	87340	0.7425	0.7425	0.198	177.81	0.0005	1218.074951	71.703	True
SmackDown3__game_510_FS_HPR_2_DM3_crit.qwd	self_pov	crit	team/4on4	87338	0.7498	0.7498	0.401	176.39	0.0004	1222.365967	71.45	True
smackdown2__chtv-dg_coj_dg_vs_fff_dm3.qwd	self_pov	fff	team/4on4	87333	0.8747	0.8696	0.615	179.0	0.0004	1237.265015	70.586	True
quakeworld__CHTV_4ng3ls-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__11-07-03_xai-tav-angels_dm3.qwd	self_pov	angels	team/4on4	87318	0.8498	0.8498	0.236	175.13	0.0004	1225.037964	71.278	True
SmackDown3__game_428_ED_DEATH_2_DM3_exile.qwd	self_pov	exile	team/4on4	87317	0.7737	0.7582	0.396	179.76	0.0003	1223.916016	71.342	True
smackdown__exile_cmf_dm3.qwd	self_pov	cmf	team/4on4	87307	0.723	0.7075	0.269	179.7	0.0003	1224.44397	71.303	True
smackdown2__AG_[vs]_XX2__dm3__def.qwd	self_pov	def	team/4on4	87304	0.8661	0.8659	0.659	173.05	0.0003	1221.875	71.451	True
SmackDown4__game_749__fs__tvs_3_dm3_mirage.qwd	self_pov	mirage	team/4on4	87303	0.8515	0.8515	0.33	174.89	0.0005	1222.36499	71.421	True
SmackDown3__game_468_PNC_DS_2_DM3_blasu.qwd	self_pov	blasu	team/4on4	87302	0.8121	0.8115	0.33	176.54	0.0004	1222.927979	71.388	True
quakeworld__CHTV_Caps_Lock-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_caps_vs_z_dm3_dark.qwd	self_pov	dark	team/4on4	87296	0.8328	0.8243	0.439	176.37	0.0003	1222.350952	71.416	True
smackdown__ag-vs-xx-thrope-dm3.qwd	self_pov	ag	team/4on4	87295	0.8063	0.8063	0.159	168.44	0.0001	1228.384033	71.065	True
SmackDown4__game_721_msr_gs_1_dm3_wart.qwd	self_pov	wart	team/4on4	87273	0.8705	0.8705	0.269	173.65	0.0002	1223.067993	71.356	True
smackdown2__crit__fs__vs_tfp_dm3.qwd	self_pov	crit	team/4on4	87264	0.832	0.823	0.533	176.23	0.0003	1221.395996	71.446	True
smackdown2__OMG_RC_2_dm3_.qwd	self_pov	rc	team/4on4	87253	0.7959	0.7959	0.363	179.91	0.0002	1221.156982	71.451	True
smackdown2__OMG_RC_2_dm3_Janus.qwd	self_pov	janus	team/4on4	87253	0.7959	0.7959	0.363	179.91	0.0002	1221.156982	71.451	True
quakeworld__CHTV_FiringSquad-Europe_Zetor-Europe_reppie_dm3_QuakeWorld_4v4__reppie-fs-zr-dm3.qwd	self_pov	zr	team/4on4	87243	0.7803	0.7803	0.593	166.98	0.0004	1226.546021	71.129	True
smackdown2__crit__fs__vs_wxo_dm3.qwd	self_pov	crit	team/4on4	87237	0.798	0.7899	0.396	175.51	0.0002	1220.994019	71.448	True
smackdown__e-cmf_1_dm3_hixen.qwd	self_pov	hixen	team/4on4	87231	0.7787	0.7787	0.335	178.86	0.0005	1225.036987	71.207	True
smackdown__fa_adm_1_dm3_spice.qwd	self_pov	spice	team/4on4	87221	0.8726	0.8689	0.725	178.65	0.0003	1224.313965	71.241	True
SmackDown3__game_597__L__FS_3_DM3_crit.qwd	self_pov	crit	team/4on4	87218	0.821	0.8115	0.533	177.24	0.0007	1226.470947	71.113	True
smackdown2__foad_rb_1_dm3_hashie.qwd	self_pov	hashie	team/4on4	87214	0.7812	0.7812	0.137	179.85	0.0005	1223.000977	71.311	True
SmackDown3__game_407_antx_DS_2_DM3_eraser.qwd	self_pov	eraser	team/4on4	87209	0.772	0.7627	0.423	169.12	0.0003	1221.167969	71.414	True
SmackDown3__game_472_tFf_ED_1_DM3_exile.qwd	self_pov	exile	team/4on4	87195	0.7938	0.7783	0.527	171.04	0.0002	1222.027954	71.353	True
smackdown2__TVS_RC_2_dm3_Blaze.qwd	self_pov	blaze	team/4on4	87169	0.7728	0.7728	0.242	176.46	0.0004	1220.848999	71.4	True
smackdown__ff_4x_1_dm3_dag.qwd	self_pov	dag	team/4on4	87164	0.9999	0.7413	0.181	179.9	0.0003	1220.053955	71.443	True
SmackDown3__game_466_CMF_OC_1_DM3_brutal.qwd	self_pov	brutal	team/4on4	87160	0.794	0.7854	0.396	177.51	0.0003	1219.858032	71.451	True
smackdown__exile_e3_dm3-1.qwd	self_pov	e3	team/4on4	87139	0.7175	0.7037	0.137	177.47	0.0004	1219.796997	71.437	True
quakeworld__CHTV_FS-Netherlands_hpr-Germany_razor_dm3_QuakeWorld_4v4__razor[[fs]]-[hpr]_4-4_dm3_.qwd	self_pov	hpr	team/4on4	87136	0.7776	0.7776	0.264	173.22	0.0003	1220.284058	71.406	True
quakeworld__CHTV_FiringSquad-Europe_HyvatPahatjaRumat-Finland_Razor_dm3_QuakeWorld_4v4__razor[[fs]]-[hpr]_4-4_dm3_.qwd	self_pov	hpr	team/4on4	87136	0.7776	0.7776	0.264	173.22	0.0003	1220.284058	71.406	True
SmackDown3__game_558_ED_WR_1_DM3_exile.qwd	self_pov	exile	team/4on4	87121	0.7857	0.7706	0.401	176.68	0.0001	1221.675049	71.313	True
smackdown__l_hf_dm3_swe.qwd	self_pov	swe	team/4on4	87108	0.7332	0.7332	0.269	165.29	0.0003	1221.832031	71.293	True
smackdown__c_d_1_dm3_mrgib.qwd	self_pov	mrgib	team/4on4	87100	0.6228	0.6153	0.071	179.81	0.0002	1222.464966	71.249	True
SmackDown4__game_719_fa_gs_1_dm3_beasil.qwd	self_pov	beasil	team/4on4	87098	0.7746	0.7746	0.176	171.08	0.0004	1219.626953	71.414	True
SmackDown4__game_721_msr_gs_1_dm3_porto.qwd	self_pov	porto	team/4on4	87097	0.8155	0.8155	0.203	177.37	0.0002	1220.714966	71.349	True
SmackDown4__game_747_koff__sr__2_dm3_miser.qwd	self_pov	miser	team/4on4	87092	0.8147	0.8147	0.445	176.97	0.0007	1219.421021	71.421	True
smackdown2__foad_azul_1_dm3_darkone.qwd	self_pov	darkone	team/4on4	87085	0.6745	0.6719	0.483	174.02	0.0002	1225.774048	71.045	True
SmackDown3__game_457_WR_Para_2_DM3_jac.qwd	self_pov	jac	team/4on4	87065	0.7963	0.7888	0.527	159.43	0.0002	1219.078003	71.419	True
smackdown2__foad_lies_1_dm3_darkone.qwd	self_pov	darkone	team/4on4	87058	0.7312	0.7312	0.599	172.06	0.0001	1223.380005	71.162	True
smackdown__Goljat_e_vs_ff_dm3_round4.qwd	self_pov	round4	team/4on4	87053	0.757	0.757	0.374	179.61	0.0005	1218.369019	71.45	True
SmackDown4__game_745_fu__l__1_dm3_exile.qwd	self_pov	exile	team/4on4	87052	0.7704	0.7576	0.396	179.25	0.0003	1218.338989	71.451	True
smackdown2__GQ_DG_1_dm3_ziploc.qwd	self_pov	ziploc	team/4on4	87046	0.9282	0.8576	0.313	179.79	0.0005	1219.56604	71.375	True
SmackDown3__game_517_4K_Twats_1_DM3_liCE.qwd	self_pov	lice	team/4on4	87042	0.8103	0.8103	0.335	161.71	0.0002	1219.561035	71.372	True
smackdown__exile_e3_dm3-2.qwd	self_pov	e3	team/4on4	87037	0.6285	0.6154	0.137	179.16	0.0006	1218.360962	71.438	True
SmackDown4__game_674_4k_fe_1_dm3_dyn.qwd	self_pov	dyn	team/4on4	87036	0.7645	0.7645	0.352	179.4	0.0004	1219.345947	71.379	True
SmackDown3__game_429_CMF_PNC_1_DM3_Fifi.qwd	self_pov	fifi	team/4on4	87033	0.8515	0.8495	0.478	167.2	0.0002	1221.18396	71.269	True
SmackDown3__game_599_CMF_TVS_2_DM3_Blaze.qwd	self_pov	blaze	team/4on4	87032	0.8531	0.8531	0.247	178.03	0.0009	1218.985962	71.397	True
SmackDown3__game_577_[x]_DAG_1_DM3_gator.qwd	self_pov	gator	team/4on4	87029	0.8985	0.8938	0.593	173.55	0.0003	1218.963013	71.396	True
smackdown__lkdn_ttr_1_dm3_blind.qwd	self_pov	blind	team/4on4	87029	0.7435	0.7383	0.401	162.54	0.0003	1220.797974	71.289	True
smackdown2__list_poc_1_dm3_lb.qwd	self_pov	lb	team/4on4	87028	0.8437	0.8437	0.0	166.98	0.0003	1223.729004	71.117	True
quakeworld__CHTV_Dunno-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_d_vs_hf_dm3_hew.qwd	self_pov	hew	team/4on4	87022	0.8442	0.8365	0.313	173.69	0.0003	1222.125	71.205	True
smackdown2__rb_aok_2_dm3_necro.qwd	self_pov	necro	team/4on4	87021	0.8188	0.8188	0.544	166.57	0.0002	1219.453003	71.361	True
smackdown2__game_271_E_CMF_2_DM3_Goljat.qwd	self_pov	goljat	team/4on4	87017	0.7996	0.7996	0.396	170.71	0.0004	1218.43396	71.417	True
smackdown2__chtv-exoduz-rb-vs-st-dm3.qwd	self_pov	st	team/4on4	87015	0.8654	0.8639	0.555	179.01	0.0004	1220.156982	71.315	True
SmackDown3__sd3_bb_x_vs_ag_dm3.qwd	self_pov	sd3	team/4on4	87013	0.8681	0.8599	0.401	175.77	0.0005	1218.139038	71.431	True
SmackDown3__game_606_THDM_FA_4_DM3_driz.qwd	self_pov	driz	team/4on4	87006	0.8048	0.8048	0.527	179.77	0.0004	1218.113037	71.427	True
smackdown__fith_vs_5_dm3_het__smackdowngame1.qwd	self_pov	smackdowngame1	team/4on4	87005	0.8446	0.8405	0.269	145.27	0.0003	1219.241943	71.36	True
smackdown2__chtv-smackdown2-ag-vs-5-fuman-dm3.qwd	self_pov	fuman	team/4on4	86995	0.671	0.671	0.401	130.51	0.0	1220.340942	71.287	True
smackdown2__omg_goh_1_dm3_Janus.qwd	self_pov	janus	team/4on4	86994	0.7705	0.7705	0.181	179.91	0.0004	1217.578003	71.448	True
smackdown2__E_omg_1_dm3_Janus.qwd	self_pov	janus	team/4on4	86991	0.8076	0.8076	0.363	179.73	0.0006	1217.473022	71.452	True
smackdown2__cmf_ns_1_dm3_vert.qwd	self_pov	vert	team/4on4	86984	0.7729	0.7729	0.17	175.07	0.0005	1218.719971	71.373	True
SmackDown4__game_721_msr_gs_1_dm3_akbal.qwd	self_pov	akbal	team/4on4	86980	0.6846	0.6772	0.225	175.38	0.0001	1218.499023	71.383	True
smackdown2__cmf_adt2_1_dm3_Peksi.qwd	self_pov	peksi	team/4on4	86975	0.6933	0.6933	0.159	176.82	0.0003	1217.442017	71.441	True
smackdown2__FF_4K_2_dm3_Pietro.qwd	self_pov	pietro	team/4on4	86967	0.8197	0.8055	0.659	178.89	0.0002	1217.582031	71.426	True
smackdown__rb_fa_1_dm3_spice.qwd	self_pov	spice	team/4on4	86966	0.834	0.8164	0.352	179.62	0.0005	1218.970947	71.344	True
SmackDown3__game_502_4K_FS_1_DM3_reppie_.qwd	self_pov	reppie	team/4on4	86965	0.7352	0.7352	0.291	175.45	0.0002	1218.717041	71.358	True
SmackDown3__game_599_CMF_TVS_2_DM3_Mirage.qwd	self_pov	mirage	team/4on4	86965	0.8378	0.8378	0.22	178.24	0.0006	1217.217041	71.446	True
SmackDown3__game_563_THDM_FOAD_1_DM3_driz.qwd	self_pov	driz	team/4on4	86964	0.7474	0.7474	0.269	179.09	0.0005	1217.802002	71.411	True
smackdown2__Janus_omg_vs_tot_dm3_sd2_7feb01.qwd	self_pov	sd2	team/4on4	86956	0.7305	0.7305	0.181	179.91	0.0005	1218.953003	71.337	True
smackdown2__fs_vs_d_dm3_1.qwd	self_pov	fs	team/4on4	86933	0.6816	0.6695	0.137	178.96	0.0003	1217.302979	71.414	True
SmackDown3__game_558_ED_WR_2_DM3_exile.qwd	self_pov	exile	team/4on4	86931	0.7704	0.7548	0.401	177.92	0.0002	1219.454956	71.287	True
smackdown2__game_260___1_DM3_Blaze.qwd	self_pov	blaze	team/4on4	86927	0.8283	0.8283	0.159	177.73	0.0006	1218.057007	71.365	True
smackdown2__vana_e_vs_para_dm3.qwd	self_pov	vana	team/4on4	86918	0.7248	0.7177	0.225	179.9	0.0003	1219.258057	71.288	True
SmackDown5__game_1020_thdm_fa_1_dm3_driz.qwd	self_pov	driz	team/4on4	86905	0.8025	0.8025	0.396	179.86	0.0005	1219.19397	71.281	True
SmackDown5__game_901_cb_fs_1_dm3_crit.qwd	self_pov	crit	team/4on4	86905	0.8109	0.8022	0.396	179.43	0.0005	1217.953979	71.353	True
SmackDown3__game_471_TVS_WR_1_DM3_blAze.qwd	self_pov	blaze	team/4on4	86900	0.7144	0.7144	0.159	168.15	0.0003	1217.723999	71.363	True
SmackDown3__game_535_FA_Dx_1_DM3_blind.qwd	self_pov	blind	team/4on4	86896	0.7741	0.7671	0.401	175.48	0.0003	1217.137939	71.394	True
smackdown__vana_e_vs_ff_dm3_1.qwd	self_pov	vana	team/4on4	86886	0.7372	0.7302	0.33	179.98	0.0003	1218.902954	71.282	True
smackdown2__E_vs_L_Goljat_dm3.qwd	self_pov	e	team/4on4	86881	0.7958	0.7958	0.549	166.99	0.0003	1216.364014	71.427	True
smackdown2__clown_xx_cg_dm3.qwd	self_pov	cg	team/4on4	86863	0.7203	0.7203	0.313	178.93	0.0003	1215.927002	71.438	True
SmackDown3__game_606_THDM_FA_4_DM3_juz.qwd	self_pov	juz	team/4on4	86854	0.6866	0.6866	0.159	176.72	0.0002	1215.70105	71.444	True
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_e_dm3_sibbit.qwd	self_pov	sibbit	team/4on4	86846	0.7905	0.7905	0.286	158.43	0.0002	1216.80603	71.372	True
smackdown__tot_capcop_tot_vs_cmf_dm3.qwd	self_pov	tot	team/4on4	86837	0.8347	0.8347	0.571	176.53	0.0006	1217.551025	71.321	True
smackdown__murdock_vs_code_dm3.qwd	self_pov	murdock	team/4on4	86825	0.8455	0.8455	0.423	169.2	0.0004	1213.225952	71.565	True
paradoks__goldens_e_vs_4x_dm3.qwd	self_pov	goldens	team/4on4	86823	0.7197	0.7197	0.286	177.81	0.0003	1216.08606	71.395	True
SmackDown5__game_901_cb_fs_1_dm3_rippie.qwd	self_pov	rippie	team/4on4	86818	0.7545	0.7545	0.291	176.81	0.0004	1222.973999	70.989	True
smackdown__amd_adt_2_dm3_glad.qwd	self_pov	glad	team/4on4	86813	0.8235	0.813	0.291	177.96	0.0004	1215.427979	71.426	True
smackdown2__ToT_AMD_1_dm3_Psycho_Dad.qwd	self_pov	psycho	team/4on4	86808	0.8143	0.8063	0.703	176.36	0.0004	1215.670044	71.408	True
quakeworld__CHTV_In_Bloom-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_ib_vs_diva_dm3_barre.qwd	self_pov	barre	team/4on4	86807	0.839	0.839	0.269	176.7	0.0003	1215.592041	71.411	True
quakeworld__CHTV_4ng3ls-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__11-07-03_saddam-tav-angels_dm3.qwd	self_pov	angels	team/4on4	86802	0.7629	0.7585	0.302	179.71	0.0005	1218.379028	71.244	True
SmackDown5__game_1021_otas_dx_1_dm3_povohat.qwd	self_pov	povohat	team/4on4	86785	0.783	0.7727	0.385	180.0	0.0003	1215.078979	71.423	True
quakeworld__CHTV_Firing_Squad-Netherlands_Earthquake-Netherlands_razor_dm3_QuakeWorld_4v4__fs-eq-razor.qwd	self_pov	fs	team/4on4	86776	0.7947	0.7947	0.269	159.55	0.0002	1215.35498	71.4	True
smackdown2__59_akke_dm3.qwd	self_pov	akke	team/4on4	86765	0.7675	0.7675	0.335	180.0	0.0003	1214.427002	71.445	True
smackdown2__dn_v_wfb-dm3_rags-_sd2_.qwd	self_pov	rags	team/4on4	86760	0.8338	0.8338	0.352	178.56	0.0004	1214.449951	71.44	True
SmackDown3__game_562_THDM_MaC_1_DM3_Nevamind.qwd	self_pov	nevamind	team/4on4	86758	0.7463	0.7443	0.269	179.62	0.0005	1216.873047	71.296	True
SmackDown4__game_718_sa_msr_2_dm3_porto.qwd	self_pov	porto	team/4on4	86744	0.8158	0.8158	0.225	177.2	0.0007	1216.03894	71.333	True
smackdown2__foad_rb_1_dm3_reign.qwd	self_pov	reign	team/4on4	86742	0.798	0.7889	0.417	175.0	0.0004	1214.776001	71.406	True
smackdown__akke_cmf_dm3.qwd	self_pov	cmf	team/4on4	86741	0.8066	0.8065	0.396	164.05	0.0004	1214.399048	71.427	True
smackdown2__64_akke_dm3.qwd	self_pov	akke	team/4on4	86736	0.845	0.845	0.357	180.0	0.0005	1213.994019	71.447	True
quakeworld__CHTV_Die-Brazil_Die2-Brazil_Die-Karioka_Dm3_QuakeWorld_3v3__die_karioka_[yell]_-_[blue]_3x3_dm3_.qwd	self_pov	3x3	team/4on4	86725	0.8318	0.826	0.33	179.74	0.0004	1214.495972	71.408	True
smackdown2__OMG_HF_1_dm3_Janus.qwd	self_pov	janus	team/4on4	86724	0.7508	0.7508	0.357	179.73	0.0004	1213.743042	71.452	True
smackdown2__ff_tfp_1_dm3_dag.qwd	self_pov	dag	team/4on4	86723	0.9998	0.848	0.357	179.9	0.0004	1216.151978	71.309	True
smackdown__nc_sf_dm3_1_aero.qwd	self_pov	aero	team/4on4	86723	0.8099	0.8099	0.269	178.97	0.0003	1214.453003	71.409	True
smackdown__c_d_2_dm3_mrgib.qwd	self_pov	mrgib	team/4on4	86704	0.6804	0.674	0.132	171.37	0.0004	1218.635986	71.148	True
smackdown__ibh_dn_1_dm3_123.qwd	self_pov	dn	team/4on4	86696	0.8135	0.8091	0.5	175.55	0.0005	1214.014038	71.413	True
SmackDown3__game_562_THDM_MaC_1_DM3_Spice_POV.qwd	self_pov	spice	team/4on4	86682	0.8919	0.8855	0.725	177.22	0.0005	1215.010986	71.343	True
SmackDown3__game_441_OMG_AQ_2_DM3_JArreX.qwd	self_pov	jarrex	team/4on4	86679	0.857	0.8473	0.357	179.03	0.0005	1215.531982	71.31	True
smackdown__fa_ao_1_dm3_harlsom.qwd	self_pov	harlsom	team/4on4	86676	0.8411	0.8411	0.335	168.49	0.0003	1216.805054	71.232	True
paradoks__e_vs_code_dm3.qwd	self_pov	e	team/4on4	86668	0.7917	0.7917	0.445	172.1	0.0002	1213.482056	71.421	True
SmackDown3__game_606_THDM_FA_4_DM3_nevamind.qwd	self_pov	nevamind	team/4on4	86666	0.789	0.7849	0.269	175.12	0.0004	1213.508057	71.418	True
smackdown2__E_omg_1_dm3_Nalle.qwd	self_pov	nalle	team/4on4	86662	0.669	0.6611	0.176	172.4	0.0006	1251.037964	69.272	True
smackdown__cute_cleaners_1_dm3_mrgib.qwd	self_pov	mrgib	team/4on4	86655	0.7647	0.7529	0.198	148.15	0.0002	1216.348022	71.242	True
smackdown__akke_e3_dm3-1.qwd	self_pov	e3	team/4on4	86648	0.7794	0.7794	0.396	178.25	0.0004	1213.05896	71.429	True
SmackDown5__game_919_ted_fs_1_dm3_reppie.qwd	self_pov	reppie	team/4on4	86635	0.8124	0.8124	0.483	178.06	0.0003	1219.107056	71.064	True
smackdown2__4k_dsg_2_dm3_zommy.qwd	self_pov	zommy	team/4on4	86626	0.8022	0.798	0.291	172.92	0.0002	1212.442993	71.447	True
smackdown2__foad_aok_2_dm3_interceptor.qwd	self_pov	interceptor	team/4on4	86625	0.8296	0.8296	0.203	179.85	0.0007	1215.078979	71.292	True
smackdown2__HF_FU_1_dm3_Nepra.qwd	self_pov	nepra	team/4on4	86621	0.72	0.7069	0.615	175.54	0.0004	1214.213989	71.339	True
smackdown__paradoks_e_vs_ibh_dm3.qwd	self_pov	paradoks	team/4on4	86612	0.8587	0.8587	0.242	177.74	0.0003	1212.822998	71.414	True
smackdown2__rc_koff_1_dm3_Milamber.qwd	self_pov	milamber	team/4on4	86602	0.854	0.854	0.5	179.01	0.0004	1214.776001	71.291	True
smackdown2__fs_vs_d_dm3_2.qwd	self_pov	fs	team/4on4	86600	0.7433	0.7307	0.137	178.91	0.0004	1212.608032	71.416	True
smackdown2___fs__crit__fs__vs__d_dm3.qwd	self_pov	fs	team/4on4	86594	0.8167	0.8094	0.401	167.65	0.0003	1211.963989	71.449	True
SmackDown3__game_591_OC_IBH_1_DM3_aKKe.qwd	self_pov	akke	team/4on4	86582	0.8457	0.8456	0.357	179.3	0.0004	1211.947998	71.44	True
