file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
smackdown2__60_forsberg_dm3_e1m2.qwd	self_pov	e1m2	team/4on4	181327	0.828	0.828	0.439	180.0	0.0004	2540.804932	71.366	True
smackdown2__thdm_list_1_dm3_aircon.qwd	self_pov	aircon	team/4on4	122416	0.6897	0.6894	0.0	172.64	0.0003	1714.387939	71.405	True
quakeworld__CHTV_Dunno-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_d_vs__s__dm3_pietro.qwd	self_pov	pietro	team/4on4	104797	0.7564	0.7471	0.225	179.81	0.0005	1472.467041	71.171	True
quakeworld__CHTV_Camp-Sweden_HGC-Poland_hagge_dm3_QuakeWorld_4v4__hagge_camp_vs_hgc_dm3_3.qwd	self_pov	hagge	team/4on4	100838	0.7924	0.7924	0.363	176.45	0.0002	1325.805054	76.058	True
smackdown__ag-vs-xx-daw-dm3.qwd	self_pov	ag	team/4on4	100646	0.7587	0.7538	0.088	171.69	0.0001	1409.223999	71.419	True
SmackDown3__game_537_List_LOK_2_DM3_arnie.qwd	self_pov	arnie	team/4on4	98806	0.6122	0.6122	0.071	166.39	0.0002	1382.844971	71.451	True
smackdown2__chtv-smackdown2-eg-vs-5-wang-dm3.qwd	self_pov	wang	team/4on4	98700	0.5733	0.5733	0.137	179.71	0.0002	1382.682983	71.383	True
smackdown2__para_fu_1_dm3_PARA.qwd	self_pov	para	team/4on4	97918	0.7532	0.7532	0.33	179.84	0.0007	1370.906006	71.426	True
quakeworld__CHTV_Nine-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_9_vs_dr_dm3_okkun.qwd	self_pov	okkun	team/4on4	97295	0.7601	0.758	0.0	179.64	0.0003	1411.72998	68.919	True
smackdown__lkdn_ttr_2_dm3_blind.qwd	self_pov	blind	team/4on4	96540	0.7773	0.7716	0.401	178.15	0.0003	1355.022949	71.246	True
smackdown__ff_pietro__ff__vs___E__dm3_2.qwd	self_pov	ff	team/4on4	95679	0.8045	0.7928	0.445	179.28	0.0006	1340.146973	71.394	True
smackdown2__koff_adt_1_dm3_Scenic.qwd	self_pov	scenic	team/4on4	95646	0.7568	0.7442	0.527	179.93	0.0004	1342.985962	71.219	True
SmackDown3__game_537_List_LOK_2_DM3_aircon.qwd	self_pov	aircon	team/4on4	95578	0.7267	0.7267	0.247	173.92	0.0003	1338.910034	71.385	True
SmackDown3__game_561_Twats_HPR_1_DM3_dakoth.qwd	self_pov	dakoth	team/4on4	95099	0.7653	0.7653	0.308	176.93	0.0005	1332.631958	71.362	True
quakeworld__CHTV_Fired-USA_Fnu-USA_Sassa_dm3_QuakeWorld_4v4__fnu_sassa_[_fnu]_-_[f]_4-4_dm3_.qwd	self_pov	f	team/4on4	94593	0.73	0.73	0.269	175.95	0.0004	1232.380981	76.756	True
quakeworld__CHTV_r3v-USA_vs-USA_d1eh4rd-r3v_dm3_QW_4v4__diehard_vs1.qwd	self_pov	diehard	team/4on4	94341	0.7694	0.7624	0.181	177.15	0.0004	1322.694031	71.325	True
SmackDown5__game_844_jams_amd_1_dm3_telly.qwd	self_pov	telly	team/4on4	94216	0.8585	0.8521	0.615	175.81	0.0003	1235.427979	76.262	True
quakeworld__CHTV_Maniacs-Sweden_Blt-Finland_Sassa_dm3_QuakeWorld_4v4__sassa_[[0]]_-_[blt]_4-4_dm3_.qwd	self_pov	blt	team/4on4	94216	0.821	0.821	0.406	179.81	0.0004	1229.369995	76.638	True
quakeworld__CHTV_6_-_O_cla-Brazil__Anm_-_Animaniacs-Brazil_memil_dm3_QuakeWorld_4v4__6.memil_-_[4on4_ocla[vs]1]_-_[dm3]_000.qwd	self_pov	ocla	team/4on4	94145	0.6945	0.6943	0.465	171.86	0.0003	1222.680664	76.999	True
SmackDown5__game_966_cmf_para_2_dm3_fix.qwd	self_pov	fix	team/4on4	94131	0.7977	0.7933	0.527	174.13	0.0004	1224.987061	76.842	True
quakeworld__CHTV_Antiquad-Finland_DeathTeam-Russia_Cougar_dm3_QuakeWorld_4v4__CB_aq_vs_dt_dm3_cougar.qwd	self_pov	cougar	team/4on4	93816	0.8251	0.8219	0.879	165.0	0.0002	1220.362061	76.876	True
quakeworld__CHTV_DvL-Portugal_4ng3ls-Portugal_all_dm3_QuakeWorld_4v4__26-06-03_insane-dvl-4ng3ls__dm3.qwd	self_pov	4ng3ls	team/4on4	93674	0.7557	0.7416	0.423	180.0	0.0004	1235.906006	75.794	True
SmackDown5__game_844_jams_amd_1_dm3_nih.qwd	self_pov	nih	team/4on4	93639	0.8038	0.8038	0.192	179.59	0.0006	1218.668945	76.837	True
SmackDown5__game_870_trash_-tf-_2_dm3_hangtime.qwd	self_pov	hangtime	team/4on4	93514	0.774	0.7727	0.681	180.0	0.0004	1216.55603	76.868	True
quakeworld__CHTV_O_Cla_[6]-Brazil_Animaniacs_[AnM]-Brazil_doob_dm3_QW_4v4__6_VS_anm_100percent_doob_.qwd	self_pov	anm	team/4on4	93484	0.7117	0.7104	0.341	143.09	0.0001	1214.276367	76.987	True
quakeworld__CHTV_O_Cla_[6]-Brazil_Lords_of_War_[LoW]-Brazil_doob_dm3_QW_3v3__2004-09-10_3on3_low_vs_[oc]_dm3_000.qwd	self_pov	oc	team/4on4	93463	0.8104	0.8078	0.546	162.05	0.0003	1214.289062	76.969	True
quakeworld__CHTV_Slackers-Europe_Firing_Squad-Europe_]sr[_dm3_QuakeWorld_4v4__Gamer_]sr[_vs_fs_dm3_sfinal.qwd	self_pov	sfinal	team/4on4	93435	0.803	0.7893	0.604	178.12	0.0003	1214.470947	76.935	True
quakeworld__CHTV_bulldozer_def_drako_pony-USA_cyan_kovaak_myth_ultimo-USA_def_dm3_QW_4v4__2005_07_17_def_zodiak_drako_bulldozer_[vs]_cyan_ultimo_kovaak_myth_dm3_.qwd	self_pov	myth	team/4on4	93386	0.8103	0.8103	0.615	173.33	0.0003	1214.178955	76.913	True
smackdown2__fa_poc_1_dm3_beasil.qwd	self_pov	beasil	team/4on4	93302	0.832	0.832	0.313	137.11	0.0002	1307.537964	71.357	True
SmackDown5__game_870_trash_-tf-_2_dm3_rush.qwd	self_pov	rush	team/4on4	93233	0.7997	0.7931	0.313	180.0	0.0005	1215.531006	76.701	True
